population,variant,allocation,metric,block_length_months,replications,observations,estimate,ci_2_5,bootstrap_median,ci_97_5,p_two_sided
us_domestic_fixed,us_deduplicated,equal_signal,ic,3,1000,101,0.005582739113950159,-0.01800493988867389,0.006219714858346043,0.028161751525600225,0.624
us_domestic_fixed,us_deduplicated,equal_signal,spread,3,1000,101,-0.005170213703134823,-0.015109199091455068,-0.0052032388105149145,0.00396849541851434,0.3
us_domestic_fixed,us_deduplicated,equal_signal,spread_winsorised,3,1000,101,-0.0029461022251826303,-0.011219565425848507,-0.0029216885877148906,0.005505965962308395,0.516
us_domestic_fixed,us_deduplicated,equal_signal,net_spread_25bps,3,1000,100,-0.006803411653176744,-0.016929339081376314,-0.006635487722828384,0.002850358421407442,0.18
us_domestic_fixed,us_deduplicated,equal_signal,ic,12,1000,101,0.005582739113950159,-0.0219777254220508,0.004980245054847766,0.031723168376915356,0.698
us_domestic_fixed,us_deduplicated,equal_signal,spread,12,1000,101,-0.005170213703134823,-0.015198413902188356,-0.0051751307342243775,0.004586995631537187,0.314
us_domestic_fixed,us_deduplicated,equal_signal,spread_winsorised,12,1000,101,-0.0029461022251826303,-0.011873545620804012,-0.0031821887158618176,0.0062307098993401545,0.542
us_domestic_fixed,us_deduplicated,equal_signal,net_spread_25bps,12,1000,100,-0.006803411653176744,-0.016901741775024726,-0.006343373055960265,0.0033107785160059627,0.188
us_domestic_fixed,us_deduplicated,inverse_redundancy,ic,6,2000,65,0.005772026790733277,-0.02942209655877815,0.004770725091212645,0.04096304375703329,0.789
us_domestic_fixed,us_deduplicated,inverse_redundancy,spread,6,2000,65,-0.006077086271628279,-0.020233598764529504,-0.006148123280129916,0.007652017492048613,0.38
us_domestic_fixed,us_deduplicated,inverse_redundancy,spread_winsorised,6,2000,65,-0.0029285579060526605,-0.016343188424961505,-0.0028285223541956745,0.010869721725981716,0.696
us_domestic_fixed,us_deduplicated,inverse_redundancy,net_spread_25bps,6,2000,64,-0.008092989589720073,-0.02231336091290243,-0.00809878290412245,0.006954500209279007,0.27
us_domestic_fixed,us_deduplicated,inverse_redundancy,ic,3,1000,65,0.005772026790733277,-0.02600831215683612,0.00610044169169102,0.03754795588129858,0.68
us_domestic_fixed,us_deduplicated,inverse_redundancy,spread,3,1000,65,-0.006077086271628279,-0.020368501850143713,-0.0062632726133609005,0.008399248549421555,0.4
us_domestic_fixed,us_deduplicated,inverse_redundancy,spread_winsorised,3,1000,65,-0.0029285579060526605,-0.015872065153145678,-0.002471638696624644,0.009514811691809556,0.686
us_domestic_fixed,us_deduplicated,inverse_redundancy,net_spread_25bps,3,1000,64,-0.008092989589720073,-0.021711615832994642,-0.00834411295238778,0.005728833532009004,0.25
us_domestic_fixed,us_deduplicated,inverse_redundancy,ic,12,1000,65,0.005772026790733277,-0.02640669678696045,0.004055344029690265,0.03964705533777097,0.796
us_domestic_fixed,us_deduplicated,inverse_redundancy,spread,12,1000,65,-0.006077086271628279,-0.02041033728271153,-0.006176713615735916,0.008942381583127143,0.412
us_domestic_fixed,us_deduplicated,inverse_redundancy,spread_winsorised,12,1000,65,-0.0029285579060526605,-0.015656429429160543,-0.0028017842060511326,0.011008102474804502,0.672
us_domestic_fixed,us_deduplicated,inverse_redundancy,net_spread_25bps,12,1000,64,-0.008092989589720073,-0.021859083160615387,-0.00821750692761693,0.007347297335358145,0.27
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,ic,6,2000,65,-0.008571098196242966,-0.04443964999621303,-0.008941541027309206,0.025307250249524717,0.607
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,spread,6,2000,65,-0.010854687014630418,-0.02636319685641145,-0.011360218921960291,0.003229931624265348,0.126
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,spread_winsorised,6,2000,65,-0.00787212699365582,-0.021211311764864366,-0.007776345610745456,0.005234628157972754,0.248
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,net_spread_25bps,6,2000,64,-0.012931235658937609,-0.027111612749153927,-0.012654231166429206,0.001833642460520442,0.08
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,ic,3,1000,65,-0.008571098196242966,-0.039382160322357807,-0.008359276982436683,0.027170617411849028,0.648
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,spread,3,1000,65,-0.010854687014630418,-0.024318022132394108,-0.010163225900848814,0.003817201914039726,0.166
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,spread_winsorised,3,1000,65,-0.00787212699365582,-0.02067918067584211,-0.007188551151325867,0.0065936424750733455,0.258
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,net_spread_25bps,3,1000,64,-0.012931235658937609,-0.027829249072792214,-0.012371654376228326,-0.0002661668965933059,0.044
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,ic,12,1000,65,-0.008571098196242966,-0.042259410572650584,-0.008258641743188667,0.023200690077161332,0.672
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,spread,12,1000,65,-0.010854687014630418,-0.02570909394494935,-0.010031977184908995,0.003551140895802209,0.148
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,spread_winsorised,12,1000,65,-0.00787212699365582,-0.020769525207880366,-0.007440666593723923,0.0036129118156578858,0.208
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,net_spread_25bps,12,1000,64,-0.012931235658937609,-0.02606264796679927,-0.012766430857353628,0.0012123342114559524,0.08
us_domestic_fixed,us_eligible,equal_group,ic,6,2000,101,0.0016824772910025289,-0.024365811682682918,0.001621550862546071,0.030176742932998536,0.903
us_domestic_fixed,us_eligible,equal_group,spread,6,2000,101,-0.005262939007126091,-0.016083117333392228,-0.005523296533376023,0.005112562907991181,0.331
us_domestic_fixed,us_eligible,equal_group,spread_winsorised,6,2000,101,-0.003214667306782217,-0.012733457287542294,-0.003244599942903585,0.006673448603467665,0.535
us_domestic_fixed,us_eligible,equal_group,net_spread_25bps,6,2000,100,-0.006743134869049849,-0.016889504653565736,-0.006692712839090762,0.004268301130503603,0.232
us_domestic_fixed,us_eligible,equal_group,ic,3,1000,101,0.0016824772910025289,-0.02368835445020888,0.0015908014821506221,0.025469628999424572,0.898
us_domestic_fixed,us_eligible,equal_group,spread,3,1000,101,-0.005262939007126091,-0.014568819400853528,-0.00509408129558594,0.004521530088578482,0.258
us_domestic_fixed,us_eligible,equal_group,spread_winsorised,3,1000,101,-0.003214667306782217,-0.012130276012475323,-0.0032283169338396854,0.005995292661607405,0.472
us_domestic_fixed,us_eligible,equal_group,net_spread_25bps,3,1000,100,-0.006743134869049849,-0.016098898981675325,-0.0068416911261279904,0.0024489157878238117,0.164
us_domestic_fixed,us_eligible,equal_group,ic,12,1000,101,0.0016824772910025289,-0.02427094588956993,0.00245259751249862,0.029350182376313864,0.852
us_domestic_fixed,us_eligible,equal_group,spread,12,1000,101,-0.005262939007126091,-0.016120675854665867,-0.005016829919656941,0.00596330353007944,0.324
