population,variant,signal_date,signals,weighted_sleeve_turnover,aggregate_sleeve_turnover,trade_cancellation,aggregate_gross_exposure,aggregate_net_exposure,top10_trade_share,capacity_line_items,capacity_p10_gbp_at_1pct,capacity_median_gbp_at_1pct,capacity_p10_gbp_at_5pct,capacity_median_gbp_at_5pct,capacity_p10_gbp_at_10pct,capacity_median_gbp_at_10pct
gbp_fixed,broad_deduplicated,2020-02-28,106,0.7253788149928772,0.14795818023509133,0.7960263283446675,0.3335737608292588,6.938893903907228e-18,0.03340680646884442,2789,227590080.09784514,2448780813.634595,1137950400.4892256,12243904068.172974,2275900800.9784513,24487808136.345947
gbp_fixed,broad_deduplicated,2020-03-31,106,0.7229269821264241,0.1721288779275338,0.7619000505123874,0.35350175590420707,-5.204170427930421e-17,0.026088690443872627,2979,176162039.55763993,2385212150.366574,880810197.7881997,11926060751.83287,1761620395.5763993,23852121503.66574
gbp_fixed,broad_deduplicated,2020-04-30,106,0.43985182969143555,0.11241417375959299,0.7444271771281395,0.3815264952404218,-2.7755575615628914e-17,0.017579531144957323,2747,301007819.57963884,3843951362.479594,1505039097.8981943,19219756812.397972,3010078195.7963886,38439513624.795944
gbp_fixed,broad_deduplicated,2020-06-30,106,0.7120564956599584,0.17730666900031816,0.7509935376181293,0.3461381710288557,-1.0408340855860843e-17,0.014421349041551219,2992,158834992.12639832,1897435102.7502446,794174960.6319916,9487175513.751225,1588349921.2639832,18974351027.50245
gbp_fixed,broad_deduplicated,2020-07-31,106,0.40959810780151434,0.10140428913132453,0.752429791056399,0.336042492712889,-3.382710778154774e-17,0.020946681993626457,2840,382635040.2999526,4157595894.6650257,1913175201.4997633,20787979473.325127,3826350402.9995265,41575958946.65025
gbp_fixed,broad_deduplicated,2020-08-31,106,0.49338584965123716,0.1225110186087023,0.7516932869167154,0.3522645444260095,-3.469446951953614e-17,0.018651793789567963,2812,262928429.12748766,3912376367.4275103,1314642145.6374385,19561881837.13755,2629284291.274877,39123763674.2751
gbp_fixed,broad_deduplicated,2020-09-30,106,0.6407687076609013,0.14973827004101908,0.7663146338908586,0.3282014608773668,3.8163916471489756e-17,0.01650703202701167,2818,188476318.47438383,2577525453.3855867,942381592.3719192,12887627266.927937,1884763184.7438383,25775254533.855873
gbp_fixed,broad_deduplicated,2020-10-30,106,0.3989543115027054,0.09936351365699438,0.7509401182237365,0.33232592395463834,2.168404344971009e-17,0.021310590904098987,2902,321218645.1560905,3812269912.1822624,1606093225.7804527,19061349560.911312,3212186451.5609055,38122699121.822624
gbp_fixed,broad_deduplicated,2020-11-30,106,0.36573181958736756,0.10339118330112279,0.7173032868242839,0.34693275318149475,-2.949029909160572e-17,0.02167108148476235,2932,323006063.6201759,3610000545.1418505,1615030318.1008797,18050002725.70925,3230060636.2017593,36100005451.4185
gbp_fixed,broad_deduplicated,2020-12-31,106,0.9671781185664101,0.18378591503439284,0.8099771784469156,0.3401855813093974,-6.938893903907228e-18,0.01644480092065855,2031,218301707.94916517,2645094973.4332957,1091508539.7458258,13225474867.16648,2183017079.4916515,26450949734.33296
gbp_fixed,broad_deduplicated,2021-03-31,106,1.0232409368538293,0.2113654974532666,0.7934352606110986,0.3531210403744451,-1.3877787807814457e-17,0.016302757979676022,2996,155019384.08204478,2049359867.017306,775096920.410224,10246799335.08653,1550193840.820448,20493598670.17306
gbp_fixed,broad_deduplicated,2021-04-30,106,0.4730816880535601,0.11054126235071249,0.7663378965152472,0.38125886770270073,-2.0816681711721685e-17,0.016343737579903612,2783,338762807.1011622,3743410307.691257,1693814035.5058107,18717051538.456284,3387628071.0116215,37434103076.91257
gbp_fixed,broad_deduplicated,2021-05-31,106,0.6604317308112289,0.14191384080350994,0.7851195904394346,0.40548978020630466,7.979727989493313e-17,0.016382880410508692,2378,227439408.04415777,2132326148.6001647,1137197040.2207887,10661630743.000824,2274394080.4415774,21323261486.001648
gbp_fixed,broad_deduplicated,2021-06-30,106,0.8450831934044002,0.19612758941691455,0.7679191931071087,0.3571735720602092,1.3877787807814457e-17,0.014578808056450102,2996,147849078.4158694,1955213503.2204423,739245392.0793471,9776067516.102211,1478490784.1586943,19552135032.204422
gbp_fixed,broad_deduplicated,2021-07-30,106,0.3291292112203221,0.09091092774978146,0.7237834727197008,0.34123757124342136,-2.0816681711721685e-17,0.015045843105500294,2962,378102813.895196,4411177520.932982,1890514069.4759803,22055887604.664913,3781028138.9519606,44111775209.32983
gbp_fixed,broad_deduplicated,2021-08-31,106,0.33409542665864733,0.0953116079980872,0.7147174118744548,0.3490605937588257,-4.85722573273506e-17,0.018007005451425695,2998,361360638.1278327,4220564988.145547,1806803190.6391637,21102824940.727737,3613606381.2783275,42205649881.455475
gbp_fixed,broad_deduplicated,2021-09-30,106,0.48950432671278526,0.12686387464076543,0.7408319646677969,0.3809467630540707,0.0,0.016703111359317197,2995,229128153.06001166,3582232300.1598916,1145640765.3000584,17911161500.799458,2291281530.6001167,35822323001.598915
gbp_fixed,broad_deduplicated,2021-11-30,106,0.3255626853086804,0.09997173829763208,0.6929263001905626,0.39666549844968374,-1.3877787807814457e-17,0.017243922061732895,2997,347757187.8717463,4520013939.955503,1738785939.3587315,22600069699.77752,3477571878.717463,45200139399.55504
gbp_fixed,broad_deduplicated,2021-12-31,106,1.0457005573876548,0.20405233076958335,0.8048654279391969,0.3583563939840825,-2.7755575615628914e-17,0.01650652178853617,1830,281094923.2441184,3620566924.6859508,1405474616.220592,18102834623.429756,2810949232.441184,36205669246.85951
gbp_fixed,broad_deduplicated,2022-01-31,106,0.9951103661890003,0.19887210796858168,0.8001507021475344,0.3478543385425188,2.0816681711721685e-17,0.020125477155063444,2140,121420753.04477285,2138219765.733872,607103765.2238642,10691098828.669361,1214207530.4477284,21382197657.338722
gbp_fixed,broad_deduplicated,2022-02-28,106,0.7902093524525977,0.1563675165715696,0.8021188738322993,0.34586630507925864,-5.204170427930421e-17,0.018194994541166434,2798,241202859.99848884,2930324070.286319,1206014299.9924443,14651620351.431591,2412028599.9848886,29303240702.863182
gbp_fixed,broad_deduplicated,2022-03-31,106,0.6701719486934895,0.1683284753727386,0.7488279303529526,0.37524469463190324,-5.551115123125783e-17,0.01494607973455823,2997,187557400.87572768,2357159933.051807,937787004.3786386,11785799665.259035,1875574008.7572773,23571599330.51807
gbp_fixed,broad_deduplicated,2022-04-29,106,0.7400136097179045,0.1565337888984066,0.7884717431641861,0.3627851087865763,-1.3877787807814457e-17,0.01514613730412738,2307,315218785.4009858,3881831976.840742,1576093927.004929,19409159884.203712,3152187854.009858,38818319768.407425
gbp_fixed,broad_deduplicated,2022-05-31,106,0.7392175395699503,0.15640560748661955,0.7884173479195169,0.39600076182377164,-6.938893903907228e-18,0.015723671260249577,2996,179609937.98582488,2713284821.924301,898049689.9291246,13566424109.621506,1796099379.8582492,27132848219.24301
gbp_fixed,broad_deduplicated,2022-06-30,106,0.5563624528834648,0.14414201734721369,0.7409206595445693,0.35698361510970256,-3.469446951953614e-17,0.01648173468208628,2997,194862659.15563458,2711900731.946099,974313295.7781731,13559503659.730495,1948626591.5563462,27119007319.46099
gbp_fixed,broad_deduplicated,2022-08-31,106,0.38145820977091227,0.09954568528914942,0.7390390801945713,0.3578157957833786,-4.163336342344337e-17,0.016521202615307956,2935,348750836.37927353,4369563088.771498,1743754181.896368,21847815443.857487,3487508363.792736,43695630887.71497
gbp_fixed,broad_deduplicated,2022-09-30,106,0.4809662971226259,0.11910591035080051,0.7523612131175303,0.34279648503646476,-3.469446951953614e-17,0.015647270830952045,2960,264668295.3406767,3104890143.7695694,1323341476.7033837,15524450718.847847,2646682953.4067674,31048901437.695694
gbp_fixed,broad_deduplicated,2022-10-31,106,0.3113235477465104,0.09078950040851849,0.7083757362213982,0.36002474080080976,6.938893903907228e-17,0.018509835931848424,2969,344736126.356582,4290859680.9358807,1723680631.7829099,21454298404.679405,3447361263.5658197,42908596809.35881
gbp_fixed,broad_deduplicated,2022-11-30,106,0.3226509049282962,0.09724869605960065,0.6985946898825138,0.3758113178271726,-4.85722573273506e-17,0.014890953939719365,2998,368013247.3946104,3884176117.506709,1840066236.973052,19420880587.533546,3680132473.946104,38841761175.06709
gbp_fixed,broad_deduplicated,2022-12-30,106,0.4113222334036886,0.10240008263862606,0.751046565629905,0.36595251527209516,1.3877787807814457e-17,0.02129102600327395,2773,387258334.92643386,4011386358.026045,1936291674.6321692,20056931790.130226,3872583349.2643385,40113863580.26045
gbp_fixed,broad_deduplicated,2023-01-31,106,0.6465889176623175,0.14649522284264888,0.7734337554496158,0.37938518331533194,-5.551115123125783e-17,0.016257555006398926,2996,201944854.0785699,2220710237.4421096,1009724270.3928497,11103551187.210548,2019448540.7856994,22207102374.421097
gbp_fixed,broad_deduplicated,2023-02-28,106,0.4479906444561105,0.11713908804911595,0.7385233609256945,0.351776217955324,0.0,0.017726764721147276,2848,285293303.28740317,3196030752.638084,1426466516.437016,15980153763.19042,2852933032.874032,31960307526.38084
gbp_fixed,broad_deduplicated,2023-03-31,106,0.6567341210227109,0.17215834302769212,0.7378568624398631,0.38297134688770507,-3.469446951953614e-17,0.015073462060297697,2963,178370899.912947,2271959598.8656273,891854499.5647352,11359797994.328138,1783708999.1294703,22719595988.656277
gbp_fixed,broad_deduplicated,2023-05-31,106,0.4251103580589799,0.11002360926826255,0.741188124018851,0.3729780835408574,-1.734723475976807e-17,0.016997893203935292,2996,335121553.88709694,3591784562.0661325,1675607769.4354846,17958922810.330666,3351215538.8709693,35917845620.66133
gbp_fixed,broad_deduplicated,2023-06-30,106,0.6087051667094036,0.15678734970040176,0.7424248087986869,0.3544949109242928,4.85722573273506e-17,0.015112130235916817,2891,192972849.70746082,2642537471.6404867,964864248.5373042,13212687358.202435,1929728497.0746083,26425374716.40487
gbp_fixed,broad_deduplicated,2023-07-31,106,0.3338230116439315,0.09571864063828225,0.713265301373593,0.3549583885941856,0.0,0.019993788052050227,2994,394746367.32227224,4044114365.909258,1973731836.6113615,20220571829.546288,3947463673.222723,40441143659.092575
gbp_fixed,broad_deduplicated,2023-08-31,106,0.35692803442758403,0.09842900785952324,0.7242329030910202,0.3512030987452378,-5.551115123125783e-17,0.016819421366023057,2997,314700338.0801837,3585384480.230943,1573501690.4009185,17926922401.154716,3147003380.801837,35853844802.30943
gbp_fixed,broad_deduplicated,2023-09-29,106,1.0137958741497264,0.18980167163923067,0.8127811756992818,0.3486591755874435,1.0061396160665481e-16,0.013324159880243677,1721,129700762.01576282,1957244192.1896503,648503810.0788141,9786220960.948252,1297007620.1576283,19572441921.896503
gbp_fixed,broad_deduplicated,2023-10-31,106,1.0948644555686866,0.20552391105883133,0.8122836941015867,0.3458819625174213,0.0,0.01582631023175886,2997,164491644.7282588,1768574595.6402535,822458223.6412939,8842872978.20127,1644916447.2825878,17685745956.40254
gbp_fixed,broad_deduplicated,2023-11-30,106,0.3198015117963852,0.0952190174862163,0.7022558869363901,0.35626901048113835,6.938893903907228e-18,0.016056823154141253,2996,406956774.4960506,3694482874.5533123,2034783872.4802532,18472414372.766563,4069567744.9605064,36944828745.53313
